location,s1,s2,posMax
116_114,116,114,-1
118_116,118,116,-1
125_109,125,109,-1
148_7,148,7,-1
206_191,206,191,-1
225_223,225,223,-1
237_234,237,234,-1
242_241,242,241,-1
261_257,261,257,-1
273_271,273,271,-1
313_2,313,2,-1
328_154,328,154,-1
346_237,346,237,-1
348_237,348,237,-1
354_353,354,353,-1
357_270,357,270,-1
388_386,388,386,-1
406_227,406,227,-1
407_223,407,223,-1
412_353,412,353,-1
429_155,429,155,-1
443_225,443,225,-1
443_226,443,226,-1
450_242,450,242,-1
471_191,471,191,-1
473_191,473,191,-1
474_198,474,198,-1
474_473,474,473,-1
476_473,476,473,-1
476_474,476,474,-1
481_480,481,480,-1
487_271,487,271,-1
511_510,511,510,-1
513_451,513,451,-1
525_164,525,164,-1
534_109,534,109,-1
536_242,536,242,-1
537_242,537,242,-1
537_536,537,536,-1
541_348,541,348,-1
564_258,564,258,-1
576_191,576,191,-1
576_473,576,473,-1
587_584,587,584,-1
616_299,616,299,-1
620_223,620,223,-1
622_353,622,353,-1
643_140,643,140,-1
651_237,651,237,-1
102_57,102,57,2
106_11,106,11,0
106_2,106,2,0
106_84,106,84,0
115_114,115,114,2
116_115,116,115,3
117_114,117,114,3
117_115,117,115,3
118_115,118,115,3
118_117,118,117,2
125_98,125,98,2
12_6,12,6,3
12_7,12,7,3
130_123,130,123,3
137_136,137,136,2
145_144,145,144,3
146_115,146,115,3
146_116,146,116,3
146_117,146,117,2
148_12,148,12,3
148_5,148,5,3
148_53,148,53,3
148_6,148,6,3
148_78,148,78,3
153_152,153,152,3
157_148,157,148,3
165_164,165,164,3
175_174,175,174,0
178_176,178,176,0
187_38,187,38,2
226_225,226,225,2
235_234,235,234,2
236_234,236,234,3
236_235,236,235,3
237_235,237,235,3
241_240,241,240,2
249_247,249,247,2
249_248,249,248,2
251_248,251,248,2
254_27,254,27,3
259_258,259,258,2
260_257,260,257,2
260_259,260,259,3
261_258,261,258,3
261_259,261,259,3
270_114,270,114,3
270_115,270,115,3
270_116,270,116,3
270_117,270,117,0
270_118,270,118,3
270_146,270,146,3
272_271,272,271,3
273_272,273,272,2
274_271,274,271,3
274_272,274,272,3
278_276,278,276,2
281_279,281,279,2
282_116,282,116,2
282_118,282,118,2
282_119,282,119,0
288_287,288,287,3
291_287,291,287,3
295_290,295,290,3
299_290,299,290,3
299_295,299,295,2
300_125,300,125,3
303_290,303,290,3
303_295,303,295,2
304_106,304,106,0
304_111,304,111,0
304_125,304,125,0
305_241,305,241,3
305_242,305,242,0
306_241,306,241,2
306_305,306,305,2
307_241,307,241,2
307_242,307,242,0
307_305,307,305,2
307_306,307,306,3
314_140,314,140,3
314_141,314,141,3
318_18,318,18,3
318_221,318,221,3
318_222,318,222,3
318_316,318,316,3
320_124,320,124,3
321_18,321,18,3
321_221,321,221,3
321_222,321,222,3
321_316,321,316,3
324_155,324,155,3
326_99,326,99,2
329_186,329,186,2
331_330,331,330,3
333_12,333,12,2
333_148,333,148,3
333_157,333,157,2
333_5,333,5,3
337_330,337,330,2
343_257,343,257,2
343_260,343,260,3
343_261,343,261,3
346_234,346,234,3
346_235,346,235,3
347_234,347,234,3
347_235,347,235,3
348_234,348,234,3
348_235,348,235,3
348_236,348,236,3
350_349,350,349,3
357_115,357,115,3
357_116,357,116,3
357_118,357,118,3
357_126,357,126,3
357_282,357,282,3
358_114,358,114,3
358_115,358,115,3
358_116,358,116,3
358_117,358,117,2
358_146,358,146,3
366_365,366,365,2
370_369,370,369,3
376_19,376,19,2
380_376,380,376,3
380_378,380,378,3
386_385,386,385,2
389_386,389,386,2
397_396,397,396,2
400_170,400,170,3
400_171,400,171,3
403_163,403,163,2
404_164,404,164,2
407_225,407,225,3
407_226,407,226,3
409_388,409,388,3
409_389,409,389,3
409_394,409,394,3
410_281,410,281,3
411_353,411,353,2
411_354,411,354,2
412_354,412,354,3
412_411,412,411,3
419_417,419,417,2
426_46,426,46,2
426_54,426,54,3
427_43,427,43,2
427_46,427,46,2
427_54,427,54,3
428_426,428,426,3
428_427,428,427,2
428_43,428,43,2
428_45,428,45,2
428_46,428,46,2
428_54,428,54,3
429_324,429,324,2
436_435,436,435,0
437_394,437,394,3
437_409,437,409,3
440_349,440,349,2
440_350,440,350,2
441_288,441,288,2
442_376,442,376,3
442_378,442,378,2
442_380,442,380,2
443_223,443,223,2
444_163,444,163,0
450_241,450,241,3
450_305,450,305,3
450_306,450,306,3
450_307,450,307,3
451_284,451,284,2
451_288,451,288,2
451_441,451,441,2
454_19,454,19,2
454_376,454,376,3
454_380,454,380,2
454_442,454,442,2
457_130,457,130,2
457_98,457,98,2
458_123,458,123,2
458_130,458,130,2
45_43,45,43,3
463_136,463,136,3
464_136,464,136,3
464_463,464,463,2
465_278,465,278,3
466_278,466,278,3
46_43,46,43,2
46_45,46,45,2
471_198,471,198,3
473_198,473,198,3
473_206,473,206,3
473_471,473,471,2
474_206,474,206,3
476_471,476,471,2
480_176,480,176,3
481_176,481,176,3
483_174,483,174,3
484_272,484,272,3
484_273,484,273,3
484_274,484,274,3
485_174,485,174,3
485_483,485,483,3
487_273,487,273,3
488_272,488,272,3
488_273,488,273,3
488_484,488,484,3
488_487,488,487,3
489_273,489,273,3
489_488,489,488,3
492_187,492,187,3
492_38,492,38,3
497_111,497,111,3
497_121,497,121,3
497_304,497,304,0
498_138,498,138,3
498_312,498,312,3
499_140,499,140,2
499_141,499,141,2
499_314,499,314,2
501_431,501,431,2
501_500,501,500,2
502_189,502,189,3
502_455,502,455,3
503_502,503,502,2
504_365,504,365,2
504_366,504,366,3
506_365,506,365,2
506_504,506,504,2
507_366,507,366,3
507_506,507,506,3
509_234,509,234,2
509_236,509,236,2
509_237,509,237,2
509_346,509,346,2
509_348,509,348,2
510_236,510,236,2
510_237,510,237,2
510_346,510,346,2
510_347,510,347,2
510_348,510,348,2
511_234,511,234,2
511_235,511,235,3
511_346,511,346,2
511_509,511,509,3
513_284,513,284,2
513_287,513,287,3
513_288,513,288,2
515_439,515,439,2
516_439,516,439,2
516_515,516,515,3
520_363,520,363,2
521_394,521,394,2
521_409,521,409,2
521_437,521,437,2
523_386,523,386,3
523_388,523,388,3
523_389,523,389,3
523_409,523,409,2
524_388,524,388,2
524_389,524,389,3
524_394,524,394,2
524_409,524,409,2
524_437,524,437,2
524_521,524,521,3
524_523,524,523,2
525_165,525,165,2
525_404,525,404,3
528_136,528,136,3
528_464,528,464,3
532_276,532,276,2
532_465,532,465,2
532_466,532,466,2
534_103,534,103,3
534_134,534,134,3
534_300,534,300,2
536_241,536,241,3
536_305,536,305,2
536_306,536,306,3
536_450,536,450,2
537_241,537,241,3
537_305,537,305,3
